Start;End;Sleep Quality;Regularity;Mood;Heart rate (bpm);Steps;Alarm mode;Air Pressure (Pa);City;Movements per hour;Time in bed (seconds);Time asleep (seconds);Time before sleep (seconds);Window start;Window stop;Did snore;Snore time;Weather temperature (°F);Weather type;Notes
2019-01-02 00:04:23;2019-01-02 07:57:37;70%;0%;;0;0;Normal;102.3;;99.3;28394.1;26027.9;1514.4;2019-01-02 07:30:00;2019-01-02 08:00:00;true;66.0;32.0;No weather;
2019-01-03 00:31:40;2019-01-03 07:40:37;65%;0%;;0;0;Normal;102.7;;119.3;25737.6;23078.0;514.8;2019-01-03 07:30:00;2019-01-03 08:00:00;true;0.0;32.0;No weather;
2019-01-04 00:17:13;2019-01-04 07:41:03;68%;98%;;0;0;Normal;102.3;;122.7;26629.3;20770.8;5325.9;2019-01-04 07:30:00;2019-01-04 08:00:00;true;0.0;32.0;No weather;
2019-01-07 00:13:22;2019-01-07 07:40:04;63%;99%;;0;0;Normal;102.4;;151.9;26802.4;23586.1;536.0;2019-01-07 07:30:00;2019-01-07 08:00:00;true;0.0;32.0;No weather;
2019-01-08 00:21:30;2019-01-08 07:52:22;77%;97%;;0;0;Normal;102.5;;124.1;27052.0;23174.5;541.0;2019-01-08 07:30:00;2019-01-08 08:00:00;true;806.0;32.0;No weather;
2019-01-09 00:12:28;2019-01-09 07:52:02;77%;98%;;0;2252;Normal;102.2;;126.4;27573.8;25827.5;551.5;2019-01-09 07:30:00;2019-01-09 08:00:00;true;288.0;32.0;No weather;
2019-01-10 00:07:37;2019-01-10 07:34:31;60%;98%;;0;4453;Normal;101.9;;171.7;26813.8;26277.6;536.3;2019-01-10 07:00:00;2019-01-10 08:00:00;true;613.0;32.0;No weather;
2019-01-13 23:44:06;2019-01-14 07:54:39;80%;0%;;0;1133;Normal;102.1;;141.3;29432.3;23055.3;588.6;2019-01-14 07:00:00;2019-01-14 08:00:00;true;0.0;32.0;No weather;
2019-01-14 23:53:14;2019-01-15 07:58:38;99%;98%;;0;1763;Normal;101.9;;90.7;29124.1;28250.3;873.7;2019-01-15 07:00:00;2019-01-15 08:00:00;true;219.0;32.0;No weather;
2019-01-16 00:08:26;2019-01-16 07:22:30;62%;96%;;0;2469;Normal;102.2;;165.5;26044.1;21877.1;520.9;2019-01-16 07:00:00;2019-01-16 08:00:00;true;139.0;32.0;No weather;
2019-01-17 00:36:27;2019-01-17 07:14:33;58%;95%;;0;3649;Normal;102.3;;168.1;23885.8;22532.3;477.7;2019-01-17 07:00:00;2019-01-17 08:00:00;true;1236.0;32.0;No weather;
2019-01-17 23:44:32;2019-01-18 07:53:01;77%;92%;;0;2369;Normal;102.2;;153.8;29309.1;26475.9;586.2;2019-01-18 07:00:00;2019-01-18 08:00:00;true;385.0;32.0;No weather;
2019-01-22 00:29:42;2019-01-22 07:54:01;78%;0%;;0;2937;Normal;101.9;;132.2;26659.3;23282.4;533.2;2019-01-22 07:00:00;2019-01-22 08:00:00;true;0.0;32.0;No weather;
2019-01-22 23:49:37;2019-01-23 07:41:39;84%;93%;;0;1640;Normal;103.0;;128.6;28321.6;26339.1;566.4;2019-01-23 07:00:00;2019-01-23 08:00:00;true;0.0;32.0;No weather;
2019-01-24 00:13:01;2019-01-24 07:28:20;69%;94%;;0;1699;Normal;102.4;;150.6;26118.7;21591.5;522.4;2019-01-24 07:00:00;2019-01-24 08:00:00;true;0.0;32.0;No weather;
2019-01-28 00:31:15;2019-01-28 07:25:03;83%;0%;;0;557;Normal;101.6;;98.0;24828.1;21021.1;496.6;2019-01-28 07:00:00;2019-01-28 08:00:00;true;0.0;32.0;No weather;
2019-01-29 00:24:31;2019-01-29 07:57:06;83%;95%;;0;3099;Normal;101.5;;119.7;27155.7;26612.6;543.1;2019-01-29 07:00:00;2019-01-29 08:00:00;true;0.0;32.0;No weather;
2019-01-30 00:07:11;2019-01-30 07:54:25;96%;96%;;0;3111;Normal;101.2;;88.5;28034.0;23922.4;1682.0;2019-01-30 07:00:00;2019-01-30 08:00:00;true;522.0;32.0;No weather;
2019-01-31 00:22:57;2019-01-31 07:45:59;82%;96%;;0;2376;Normal;101.4;;111.4;26582.2;21531.6;3012.7;2019-01-31 07:00:00;2019-01-31 08:00:00;true;1151.0;32.0;No weather;
2019-02-01 00:00:51;2019-02-01 07:49:19;83%;97%;;0;2742;Normal;101.6;;123.6;28108.0;26608.9;562.2;2019-02-01 07:00:00;2019-02-01 08:00:00;true;882.0;32.0;No weather;
2019-02-10 22:54:40;2019-02-11 05:44:57;80%;0%;;0;3560;Normal;101.7;;99.8;24617.4;22812.1;1312.9;2019-02-11 05:30:00;2019-02-11 06:00:00;true;0.0;32.0;No weather;
2019-02-12 00:01:21;2019-02-12 07:43:52;80%;74%;;0;3871;Normal;102.5;;126.9;27751.2;22016.0;555.0;2019-02-12 07:30:00;2019-02-12 08:00:00;true;508.0;32.0;No weather;
2019-02-12 22:30:40;2019-02-13 05:58:12;82%;73%;;0;1845;Normal;101.9;;113.8;26852.1;22466.3;3490.8;2019-02-13 05:30:00;2019-02-13 06:00:00;true;156.0;32.0;No weather;
2019-02-13 23:40:01;2019-02-14 07:31:43;80%;75%;;0;4257;Normal;101.6;;128.3;28302.2;24056.9;566.0;2019-02-14 07:30:00;2019-02-14 08:00:00;true;571.0;32.0;No weather;
2019-02-18 23:56:14;2019-02-19 07:39:01;78%;0%;;0;906;Normal;101.8;;130.9;27767.4;26193.9;555.3;2019-02-19 07:30:00;2019-02-19 08:00:00;true;0.0;32.0;No weather;
2019-02-19 23:05:35;2019-02-20 05:56:30;80%;79%;;0;5620;Normal;102.0;;100.7;24655.1;21449.9;493.1;2019-02-20 05:30:00;2019-02-20 06:00:00;true;0.0;32.0;No weather;
2019-02-20 23:58:31;2019-02-21 07:45:11;71%;78%;;0;2996;Normal;100.7;;149.6;28000.2;23800.2;560.0;2019-02-21 07:30:00;2019-02-21 08:00:00;true;1433.0;32.0;No weather;
2019-02-24 23:14:32;2019-02-25 06:28:55;61%;0%;;0;409;Normal;102.0;;165.6;26062.6;20415.7;2345.6;2019-02-25 06:00:00;2019-02-25 06:30:00;true;0.0;32.0;No weather;
2019-02-25 23:33:47;2019-02-26 07:58:52;87%;85%;;0;5094;Normal;101.9;;128.8;30304.6;28991.4;606.1;2019-02-26 07:30:00;2019-02-26 08:00:00;true;0.0;32.0;No weather;
2019-02-26 23:00:53;2019-02-27 06:15:14;72%;83%;;0;1616;Normal;101.9;;134.1;26060.7;22672.8;521.2;2019-02-27 06:00:00;2019-02-27 06:30:00;true;249.0;32.0;No weather;
