Start;End;Sleep Quality;Regularity;Mood;Heart rate (bpm);Steps;Alarm mode;Air Pressure (Pa);City;Movements per hour;Time in bed (seconds);Time asleep (seconds);Time before sleep (seconds);Window start;Window stop;Did snore;Snore time;Weather temperature (°F);Weather type;Notes
2019-01-02 00:04:23;2019-01-02 07:57:37;70%;0%;;0;0;Normal;102.3000000;;99.3000000;28394.1000000;26027.9000000;1514.4000000;2019-01-02 07:30:00;2019-01-02 08:00:00;True;66.0000000;32.0000000;No weather;
2019-01-03 00:31:40;2019-01-03 07:40:37;65%;0%;;0;0;Normal;102.7000000;;119.3000000;25737.6000000;23078.0000000;514.8000000;2019-01-03 07:30:00;2019-01-03 08:00:00;True;0.0000000;32.0000000;No weather;
2019-01-04 00:17:13;2019-01-04 07:41:03;68%;98%;;0;0;Normal;102.3000000;;122.7000000;26629.3000000;20770.8000000;5325.9000000;2019-01-04 07:30:00;2019-01-04 08:00:00;True;0.0000000;32.0000000;No weather;
2019-01-07 00:13:22;2019-01-07 07:40:04;63%;99%;;0;0;Normal;102.4000000;;151.9000000;26802.4000000;23586.1000000;536.0000000;2019-01-07 07:30:00;2019-01-07 08:00:00;True;0.0000000;32.0000000;No weather;
2019-01-08 00:21:30;2019-01-08 07:52:22;77%;97%;;0;0;Normal;102.5000000;;124.1000000;27052.0000000;23174.5000000;541.0000000;2019-01-08 07:30:00;2019-01-08 08:00:00;True;806.0000000;32.0000000;No weather;
2019-01-09 00:12:28;2019-01-09 07:52:02;77%;98%;;0;2252;Normal;102.2000000;;126.4000000;27573.8000000;25827.5000000;551.5000000;2019-01-09 07:30:00;2019-01-09 08:00:00;True;288.0000000;32.0000000;No weather;
2019-01-10 00:07:37;2019-01-10 07:34:31;60%;98%;;0;4453;Normal;101.9000000;;171.7000000;26813.8000000;26277.6000000;536.3000000;2019-01-10 07:00:00;2019-01-10 08:00:00;True;613.0000000;32.0000000;No weather;
2019-01-13 23:44:06;2019-01-14 07:54:39;80%;0%;;0;1133;Normal;102.1000000;;141.3000000;29432.3000000;23055.3000000;588.6000000;2019-01-14 07:00:00;2019-01-14 08:00:00;True;0.0000000;32.0000000;No weather;
2019-01-14 23:53:14;2019-01-15 07:58:38;99%;98%;;0;1763;Normal;101.9000000;;90.7000000;29124.1000000;28250.3000000;873.7000000;2019-01-15 07:00:00;2019-01-15 08:00:00;True;219.0000000;32.0000000;No weather;
2019-01-16 00:08:26;2019-01-16 07:22:30;62%;96%;;0;2469;Normal;102.2000000;;165.5000000;26044.1000000;21877.1000000;520.9000000;2019-01-16 07:00:00;2019-01-16 08:00:00;True;139.0000000;32.0000000;No weather;
2019-01-17 00:36:27;2019-01-17 07:14:33;58%;95%;;0;3649;Normal;102.3000000;;168.1000000;23885.8000000;22532.3000000;477.7000000;2019-01-17 07:00:00;2019-01-17 08:00:00;True;1236.0000000;32.0000000;No weather;
